Project SameGraph (.NETCoreApp,Version=v1.0) will be compiled because inputs were modified
Compiling SameGraph for .NETCoreApp,Version=v1.0

Compilation succeeded.
    0 Warning(s)
    0 Error(s)

Time elapsed 00:00:01.0051227
 

== Checking Sample Graph ==========================
Solution:
  {"0":1,"7":6,"2":7,"1":3,"4":5,"5":2,"3":0,"6":4}
Solution valid: True
Stats: Time=38 ms | Nodes=8 | Edges=18 | Solution=True | TimePerEdge=2.11111111111111
== Running successive graph sizes ======================
Stats: Time=0 ms | Nodes=0 | Edges=0 | Solution=True | TimePerEdge=0
Stats: Time=0 ms | Nodes=0 | Edges=0 | Solution=True | TimePerEdge=0
Stats: Time=0 ms | Nodes=0 | Edges=0 | Solution=True | TimePerEdge=0
Stats: Time=0 ms | Nodes=0 | Edges=0 | Solution=True | TimePerEdge=0
Stats: Time=0 ms | Nodes=0 | Edges=0 | Solution=True | TimePerEdge=0
Stats: Time=0 ms | Nodes=0 | Edges=0 | Solution=True | TimePerEdge=0
Stats: Time=0 ms | Nodes=0 | Edges=0 | Solution=True | TimePerEdge=0
Stats: Time=0 ms | Nodes=0 | Edges=0 | Solution=True | TimePerEdge=0
Stats: Time=0 ms | Nodes=0 | Edges=0 | Solution=True | TimePerEdge=0
Stats: Time=0 ms | Nodes=0 | Edges=0 | Solution=True | TimePerEdge=0
Stats: Time=0 ms | Nodes=0 | Edges=0 | Solution=True | TimePerEdge=0
Stats: Time=0 ms | Nodes=0 | Edges=0 | Solution=True | TimePerEdge=0
Stats: Time=0 ms | Nodes=0 | Edges=0 | Solution=True | TimePerEdge=0
Stats: Time=0 ms | Nodes=0 | Edges=0 | Solution=True | TimePerEdge=0
Stats: Time=0 ms | Nodes=0 | Edges=0 | Solution=True | TimePerEdge=0
Stats: Time=0 ms | Nodes=0 | Edges=0 | Solution=True | TimePerEdge=0
Stats: Time=0 ms | Nodes=0 | Edges=0 | Solution=True | TimePerEdge=0
Stats: Time=0 ms | Nodes=0 | Edges=0 | Solution=True | TimePerEdge=0
Stats: Time=0 ms | Nodes=1 | Edges=1 | Solution=True | TimePerEdge=0
